id,name,location,rating,dish_name,available_quantity
841,Dabvine,Tucupita,4.4,Food Colouring - Red,32
842,Zoomlounge,Thị Trấn Tam Sơn,1.0,Cheese - Brie,85
843,Flipopia,Suan Luang,2.0,Beef - Top Butt,42
844,Blogtag,Trzciana,1.7,Taro Leaves,2
845,Realblab,Cimitarra,4.9,"Sauce - White, Mix",68
846,Avamba,Karakulino,0.0,Chocolate - White,59
847,Wordify,Cibitung,4.6,"Oil - Shortening,liqud, Fry",13
848,Jayo,Dok Kham Tai,2.1,Beer - Sleemans Honey Brown,97
849,Topicware,Banraeaba Village,2.6,Mix - Cocktail Ice Cream,61
850,Avamba,Salamá,2.2,"Wine - Red, Pelee Island Merlot",87
851,Quimm,Koktal,5.0,Sprouts Dikon,16
852,Mynte,Houzhen,0.2,Longos - Penne With Pesto,42
853,Aivee,Mao,4.7,Juice - Apple Cider,31
854,Browseblab,Songmuping,2.3,Bar Nature Valley,13
855,Jabberstorm,Banī Zayd,0.7,"Soup - Cream Of Broccoli, Dry",31
856,Tanoodle,Moutfort,4.3,Sauce - Hollandaise,44
857,Quimba,Shimanovsk,3.4,Longos - Greek Salad,5
858,Yambee,Nanyue,3.3,Sugar - Icing,93
859,Fivechat,Helsingborg,2.6,Relish,4
860,Bubblebox,Isfahan,3.9,Carbonated Water - White Grape,96
861,Linkbuzz,Yanghe,4.1,Beer - Sleeman Fine Porter,87
862,Oba,Dasongshu,3.0,Pork - Suckling Pig,34
863,Skaboo,Sucun,2.7,Cheese - Wine,8
864,Skaboo,Korczew,1.3,Vodka - Smirnoff,16
865,Vinte,Ryki,3.1,Muffin - Bran Ind Wrpd,91
866,Thoughtstorm,Chongwen,1.1,"Coconut - Shredded, Sweet",54
867,Twimm,Nikol’sk,1.7,Peas Snow,15
868,Jatri,Huangtugang,4.9,"Chicken - Base, Ultimate",69
869,Youtags,Fyllingsdalen,3.4,Coffee - Cafe Moreno,87
870,Wordtune,Porvenir,1.3,Wine - Prosecco Valdobienne,44
871,Tagcat,Seto,3.5,Bar Mix - Lemon,28
872,Feedbug,Delft,0.2,Soup - Campbells Beef Noodle,48
873,Plajo,Białaczów,3.7,"Mushroom - Enoki, Fresh",29
874,Devshare,Cañasgordas,2.5,Wine - Gato Negro Cabernet,17
875,Feedmix,Hostomice,0.3,Milk - Homo,36
876,Oyope,Béziers,3.0,Bagel - Plain,40
877,Kwilith,Wąbrzeźno,2.5,Chives - Fresh,67
878,Eazzy,Tando Muhammad Khān,2.8,Rabbit - Frozen,27
879,Lazzy,Kebonjaya,2.9,Bay Leaf Ground,36
880,Zoomdog,Yazykovo,4.6,Vinegar - Balsamic,17
881,Meeveo,Batarasa,1.6,Kolrabi,61
882,Yombu,Lewobelek,0.6,Flower - Carnations,76
883,Rooxo,Kumla,4.7,Grenadine,42
884,Mynte,Lianokládhion,3.9,"Ranchero - Primerba, Paste",68
885,Voonix,Mandalasari,2.3,Calypso - Lemonade,7
886,Blogtag,Caetité,0.3,"Soup - Knorr, Classic Can. Chili",8
887,Cogibox,Aravissós,0.2,Wooden Mop Handle,57
888,Brainsphere,Ignalina,0.3,Cattail Hearts,43
889,Chatterbridge,Pavlovka,4.3,Cookie - Oatmeal,98
890,Browsetype,Abricots,2.3,Banana,27
891,Fivebridge,Mostek,4.5,Pork - Smoked Kassler,61
892,Npath,Temuji,0.5,Veal - Knuckle,52
893,Avaveo,Tebon,5.0,Bagel - Everything Presliced,36
894,Ntags,Guabito,0.4,"Cheese - Woolwich Goat, Log",64
895,Meemm,Nizhnyaya Tura,1.0,Bagel - Ched Chs Presliced,16
896,Rhynyx,Bezlyudivka,3.3,Pastry - Plain Baked Croissant,70
897,Vitz,Sydney,3.8,Cheese - Goat With Herbs,23
898,Skivee,San Luis Ixcán,0.9,Chinese Foods - Pepper Beef,80
899,Linktype,San José de La Montaña,1.8,"Wine - White, Schroder And Schyl",43
900,Miboo,Miaoya,3.1,Vodka - Smirnoff,99
901,Dabfeed,Selebi-Phikwe,1.2,Buttons,79
902,Lazzy,Uritsk,4.0,Baking Soda,20
903,Yakitri,Camiling,1.2,Kippers - Smoked,54
904,Flipbug,Pataruman,3.3,"Beans - Kidney, Canned",51
905,Kwideo,Rožaje,2.1,Peach - Halves,99
906,Muxo,Timoulilt,2.3,Frangelico,97
907,Youfeed,Hāfizābād,4.5,Beans - Fava Fresh,80
908,Edgewire,Macon,4.6,Butter - Pod,47
909,Twitterlist,Amarillo,3.0,Nantucket - 518ml,35
910,Rhyloo,Yaojiaji,2.9,Salami - Genova,72
911,Einti,Yantan,4.4,Beer - True North Lager,39
912,Dynazzy,Zarechnyy,1.3,"Tomatoes - Cherry, Yellow",51
913,Thoughtsphere,Thị Trấn Việt Lâm,3.4,Table Cloth 53x69 White,92
914,Blogtag,Reston,3.2,Foam Espresso Cup Plain White,80
915,Rhynoodle,Lipljan,4.8,Syrup - Monin - Granny Smith,1
916,Browseblab,Sidayu,1.0,Chocolate Bar - Reese Pieces,63
917,Feedfire,Wilmington,2.9,Wine - Toasted Head,63
918,Kwideo,Priyutovo,2.8,Evaporated Milk - Skim,71
919,Livetube,Batutua,3.8,Lettuce Romaine Chopped,56
920,Thoughtstorm,Famagusta,1.8,"Bread - Sticks, Thin, Plain",40
921,Teklist,Guanbuqiao,0.4,Cheese - Gouda,100
922,Bluezoom,Huibu,4.7,Aspic - Clear,99
923,Kwimbee,Borāzjān,4.8,Pork - European Side Bacon,56
924,Riffwire,Philadelphia,4.3,Iced Tea Concentrate,97
925,Eare,Benito Juarez,3.4,Beets - Mini Golden,84
926,Fivebridge,Granja,1.8,Clam Nectar,6
927,Skimia,Olinda,2.1,Cheese - Mozzarella,21
928,Agimba,Turkestan,0.4,Broom - Push,32
929,Meezzy,Banjar Batuaji Kaja,2.8,Currants,86
930,Browsecat,Rungis,4.9,Bread - Rye,82
931,Meeveo,Jingyang,2.8,"Salt - Rock, Course",16
932,Gabspot,Xiangdian,4.3,Table Cloth 62x114 White,30
933,Flashpoint,Liozon,3.9,"Pasta - Lasagne, Fresh",79
934,Vitz,Adelaide Mail Centre,4.4,Currants,100
935,Browsezoom,Dū Laīnah,1.5,Bread - Bistro White,45
936,Jaxnation,Kumanovo,3.7,Cumin - Whole,50
937,Blogtags,Pirallahı,1.5,"Lid - 10,12,16 Oz",54
938,Meetz,Karangampel,4.5,"Beans - Black Bean, Canned",40
939,Browsecat,Canoinhas,3.9,Kiwi,20
940,Rooxo,Lucheng,2.2,Cakes Assorted,51
941,Photolist,Māwiyah,2.2,"Rice Pilaf, Dry,package",97
942,Flipstorm,Kamalasai,3.4,Soup - Campbells Pasta Fagioli,7
943,Tagfeed,Askaniya Nova,0.1,Mcguinness - Blue Curacao,46
944,Tagpad,Buayan,3.9,Veal - Bones,35
945,Dabshots,Postřelmov,1.6,"Turkey - Breast, Boneless Sk On",67
946,Livetube,Wutumeiren,1.8,Cheese - Brie Roitelet,36
947,Mudo,Drásov,0.3,Capers - Ox Eye Daisy,2
948,Skimia,San Jose,3.4,Island Oasis - Raspberry,7
949,Twiyo,Sarov,2.1,Soup - Campbells Mac N Cheese,78
950,Meejo,Ridderkerk,2.6,Bread - Dark Rye,48
951,Topicware,Līgatne,2.8,Rappini - Andy Boy,93
952,Brightdog,Shums’k,0.9,Rice Wine - Aji Mirin,35
953,Babbleopia,New Orleans,0.4,Ecolab - Medallion,8
954,Katz,Ludishan,0.3,Sping Loaded Cup Dispenser,26
955,Nlounge,Talas,4.3,Iced Tea Concentrate,5
956,Trunyx,Xinle,2.3,Black Currants,8
957,Eayo,Bandar-e Māhshahr,0.7,"Coconut - Shredded, Sweet",17
958,Twimm,Amnat Charoen,0.1,Orange Roughy 4/6 Oz,93
959,Browsedrive,Yaizu,0.1,Marzipan 50/50,56
960,Riffwire,Xinxing,2.0,"Vinegar - Balsamic, White",57
961,Gigaclub,Satuek,3.0,Cheese - Marble,76
962,Voolith,MacArthur,4.0,Tomato - Green,42
963,Meetz,Fenghuang,1.0,"Syrup - Monin, Irish Cream",7
964,Tagopia,Dabai,2.9,Pork - Smoked Kassler,60
965,Trunyx,Dushanbe,5.0,Lettuce - Red Leaf,58
966,Zava,Bhadrapur,0.6,Sprouts Dikon,64
967,Pixope,Fengli,4.1,"Oil - Food, Lacquer Spray",41
968,Shuffletag,Bandeirantes,2.2,Jolt Cola - Red Eye,11
969,Oyondu,Domašinec,0.8,"Soup - Campbells, Creamy",80
970,Thoughtworks,Šentrupert,1.4,Corn Kernels - Frozen,42
971,Rhyloo,Na Yong,4.1,Milk - Condensed,63
972,Oyondu,Nong Phok,0.9,Beef - Flank Steak,75
973,Wordpedia,Galižana,0.6,"Fish - Artic Char, Cold Smoked",94
974,Dabtype,Ílion,1.2,Soup - Campbells Beef Noodle,76
975,Twitterbridge,Ngancar,0.5,Sobe - Green Tea,89
976,Rhyzio,Imbituva,1.6,Cheese - Comte,22
977,Voolia,Santiago,0.6,"Shrimp - Baby, Cold Water",63
978,Trunyx,Buchach,3.4,Garlic Powder,34
979,Realcube,Fovissste,2.5,"Pork - Sausage, Medium",11
980,Linktype,Zarichne,2.2,Cookie - Oatmeal,88
981,Jaxworks,Mpigi,3.7,Sunflower Seed Raw,67
982,Eare,Shuitian,2.0,"Wine - Red, Colio Cabernet",97
983,Oyoyo,Kálamos,1.3,Aspic - Clear,68
984,Twitternation,Fažana,1.0,"Fish - Scallops, Cold Smoked",75
985,Meeveo,Libas,2.0,Wine - Valpolicella Masi,55
986,Katz,Pereslavl’-Zalesskiy,0.5,Wine - Prem Select Charddonany,2
987,Youspan,Sukmoilang,0.5,Melon - Honey Dew,21
988,Dabshots,Kuching,3.4,Juice - Ocean Spray Kiwi,7
989,Realbridge,Yanliang,4.7,Beer - Sleeman Fine Porter,50
990,Realmix,Druzhba,0.7,Coffee - Espresso,76
991,Brainbox,Stockholm,2.0,"Turkey - Breast, Smoked",65
992,Skalith,Lomme,3.7,Kahlua,43
993,Wordify,Bagong Sikat,1.4,Ezy Change Mophandle,56
994,Eire,Zongluzui,4.7,Sprouts - Bean,38
995,Kwimbee,Babice,2.0,"Soup - Campbells, Butternut",66
996,Shuffledrive,Medianeira,3.5,"Veal - Insides, Grains",66
997,Cogibox,Villa del Carmen,3.2,Wasabi Paste,32
998,Browsezoom,Prachatice,0.6,Rice - 7 Grain Blend,63
999,Roombo,Jakobstad,2.5,Lobster - Tail 6 Oz,60
1000,Feedfire,Prochowice,2.5,Lettuce - Treviso,43
